Accession,ACa2002_400,ACa2002_600,ACa2002_800,ACa2002_1000,ACa2002_1250,ACa2002_300,ACa2002_250,ACa2002_200,ACa2002_100,ACa2002_75,ACa2002_25,ACa2003_400,ACa2003_600,ACa2003_800,ACa2003_1000,ACa2003_1250,ACa2003_300,ACa2003_250,ACa2003_200,ACa2003_100,ACa2003_75,ACa2003_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,AQ2022_1800,AQ2022_1100,AQ2022_500,AQ2022_300,AQ2022_150,AQ2022_50,AQ2023_1800,AQ2023_1100,AQ2023_500,AQ2023_300,AQ2023_150,AQ2023_50
SSA_00197,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00204,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00209,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00216,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00222,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00227,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00229,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00235,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00238,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00239,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00240,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00241,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00254,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00262,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00271,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00275,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00279,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00286,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00299,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00304,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00312,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00359,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
SSA_00367,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,43.2312,43.8431,44.3855,44.8754,45.3654,42.9808,42.3461,39.9566,22.9762,17.9383,5.93891,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,0.235198,0.225352,0.209165,0.19149,0.173673,0.248976,0.285046,0.328747,0.380949,0.431096,0.471149,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845,43.2312,38.0285,19.8186,11.1358,2.46353,-1.22845
